ID,Phone,Category
132010,9179242882,P
132020,9124935752,P
132030,9328418147,P
132040,3499959812,P
132050,6768757617,P
132050,3987379315,S
132060,3312464694,P
132070,9347615997,P
132080,6959561345,P
132090,3721476447,P
132090,9796593615,S
132100,4681888997,P
132110,1469155698,P
132110,6246421928,S
132120,5986986786,P
132130,2428683666,P
132140,5697892945,P
132140,2572678323,S
132150,5937929946,P
132160,1299453765,P
132170,3431512118,P
132170,9892778923,S
132180,7647988417,P
132190,6295639438,P
132200,4482854995,P
132210,3945219924,P
132220,3945283924,P
132220,4349588829,S
132230,3279933995,P
132240,4898196294,P
132250,3277647496,P
132250,1975397178,S
132260,5915937939,P
132270,1889146671,P
132280,9669377733,P
132290,9255579962,P
132290,2447842456,S
132300,9374779152,P
132310,3477933874,P
132320,9355797165,P
132330,5889974484,P
132330,4957998726,S
132340,4188912512,P
132350,7682653812,P
132360,3429689687,P
132370,2955952939,P
132380,8974327995,P
132390,8815832854,P
132400,7133528659,P
